0x140D402B0	EXE3w_btlev2d_event2d_fade
0x140D40480	EXE3w_btlev2d_event2d_exit
0x140D89A40	EXE3w_btlev2e_BattleEvent2eMove
0x140D89B30	EXE3w_btlev2e_event2e_init
0x140D89D70	EXE3w_btlev2e_event2e_move
0x140D89E60	EXE3w_btlev2e_event2e_appear
0x140D8A0F0	EXE3w_btlev2e_event2e_set
0x140D8A370	EXE3w_btlev2e_event2e_fade
0x140D8A540	EXE3w_btlev2e_event2e_exit
0x140D8A6A0	EXE3w_btlev2e_next_set_pos
0x140E1DEC0	EXE3w_btlev2f_BattleEvent2fMove
0x140E1DFB0	EXE3w_btlev2f_btlev2f_init
0x140E1E2E0	EXE3w_btlev2f_btlev2f_move
0x140E1E3D0	EXE3w_btlev2f_btlev2f_telop
0x140E1E620	EXE3w_btlev2f_btlev2f_piece_erase
0x140E1E880	EXE3w_btlev2f_btlev2f_piece_set
0x140E1E9B0	EXE3w_btlev2f_type_ofence
0x140E1EAA0	EXE3w_btlev2f_type_ofence_00
0x140E1EEF0	EXE3w_btlev2f_type_ofence_01
0x140E1F750	EXE3w_btlev2f_type_ofence_02
0x140E1FB60	EXE3w_btlev2f_type_knight
0x140E1FC50	EXE3w_btlev2f_type_knight_00
