0x140A371A0	EXE2j_btlev22_btlev22_exit
0x1405F46D0	EXE2j_btlev23_BattleEvent23Move
0x1405F47C0	EXE2j_btlev23_event23_init
0x1405F4A00	EXE2j_btlev23_event23_move
0x1405F4AF0	EXE2j_btlev23_event23_appear
0x1405F4D00	EXE2j_btlev23_event23_set
0x1405F4FC0	EXE2j_btlev23_event23_fade
0x1405F5190	EXE2j_btlev23_event23_exit
0x140AD2F00	EXE2j_btlev24_BattleEvent24Move
0x140AD2FF0	EXE2j_btlev24_btlev24_init
0x140AD3220	EXE2j_btlev24_btlev24_move
0x140AD3310	EXE2j_btlev24_btlev24_telop
0x140AD34D0	EXE2j_btlev24_btlev24_pl_erase
0x140AD37B0	EXE2j_btlev24_btlev24_pl_entry
0x140AD3950	EXE2j_btlev24_btlev24_exit
0x1408F17D0	EXE2j_btlev25_BattleEvent25Move
0x1408F18C0	EXE2j_btlev25_event25_init
0x1408F1B00	EXE2j_btlev25_event25_move
0x1408F1BF0	EXE2j_btlev25_event25_telop
0x1408F1E40	EXE2j_btlev25_event25_efc
0x1408F20C0	EXE2j_btlev25_event25_fade
0x1408F2290	EXE2j_btlev25_event25_exit
0x140A808B0	EXE2j_btlev26_BattleEvent26Move
0x140A809A0	EXE2j_btlev26_event26_init
0x140A80BE0	EXE2j_btlev26_event26_move
0x140A80CD0	EXE2j_btlev26_event26_appear
0x140A80EA0	EXE2j_btlev26_event26_set
0x140A81120	EXE2j_btlev26_event26_fade
0x140A812F0	EXE2j_btlev26_event26_exit
0x140915A90	EXE2j_btlev27_BattleEvent27Move
0x140915B80	EXE2j_btlev27_event27_init
0x140915DC0	EXE2j_btlev27_event27_move
0x140915EB0	EXE2j_btlev27_event27_appear
0x140916120	EXE2j_btlev27_event27_set
0x1409162F0	EXE2j_btlev27_event27_exit
0x140574C40	EXE2j_btlev28_BattleEvent28Move
0x140574D30	EXE2j_btlev28_event28_init
0x140574F90	EXE2j_btlev28_event28_move
0x140575080	EXE2j_btlev28_event28_appear
0x140575250	EXE2j_btlev28_event28_set
0x1405754E0	EXE2j_btlev28_event28_fade
0x1405756B0	EXE2j_btlev28_event28_exit
0x140ADA370	EXE2j_btlev29_BattleEvent29Move
0x140ADA460	EXE2j_btlev29_event29_init
0x140ADA6A0	EXE2j_btlev29_event29_move
0x140ADA790	EXE2j_btlev29_event29_appear
0x140ADA960	EXE2j_btlev29_event29_set
0x140ADABC0	EXE2j_btlev29_event29_fade
0x140ADADD0	EXE2j_btlev29_event29_exit
0x140788770	EXE2j_btlev2a_BattleEvent2aMove
0x140788860	EXE2j_btlev2a_btlev2a_init
0x140788A90	EXE2j_btlev2a_btlev2a_move
0x140788B80	EXE2j_btlev2a_btlev2a_telop
0x140788D30	EXE2j_btlev2a_btlev2a_wakusei_set
0x140789660	EXE2j_btlev2a_btlev2a_wait
0x140789810	EXE2j_btlev2a_btlev2a_exit
0x140A932C0	EXE2j_btlev2b_BattleEvent2bMove
0x140A933B0	EXE2j_btlev2b_event2b_init
0x140A935F0	EXE2j_btlev2b_event2b_move
0x140A936E0	EXE2j_btlev2b_event2b_appear
0x140A938B0	EXE2j_btlev2b_event2b_set
0x140A93B40	EXE2j_btlev2b_event2b_fade
0x140A93D10	EXE2j_btlev2b_event2b_exit
0x1406810E0	EXE2j_btlev2c_BattleEvent2cMove
0x1406811D0	EXE2j_btlev2c_btlev2c_init
0x140681400	EXE2j_btlev2c_btlev2c_move
0x1406814F0	EXE2j_btlev2c_btlev2c_telop
0x1406816B0	EXE2j_btlev2c_btlev2c_pl_erase
0x140681990	EXE2j_btlev2c_btlev2c_pl_entry
0x140681B30	EXE2j_btlev2c_btlev2c_exit
0x140633000	EXE2j_btlev2d_BattleEvent2dMove
0x1406330F0	EXE2j_btlev2d_event2d_init
0x140633340	EXE2j_btlev2d_event2d_move
0x140633430	EXE2j_btlev2d_event2d_appear
0x1406336C0	EXE2j_btlev2d_event2d_set
0x140633940	EXE2j_btlev2d_event2d_fade
0x140633B10	EXE2j_btlev2d_event2d_exit
0x140633C70	EXE2j_btlev2d_next_set_pos
0x14067DF30	EXE2j_btlev2e_BattleEvent2eMove
0x14067E020	EXE2j_btlev2e_btlev2e_init
0x14067E250	EXE2j_btlev2e_btlev2e_move
0x14067E340	EXE2j_btlev2e_btlev2e_telop
0x14067E4F0	EXE2j_btlev2e_btlev2e_pl_erase
